id,depaAirport,arriAirport,std,sta,fleet,aircraftNo,flyTime
Flt_100080,KKME,HZPW,2025/6/1 11:15,2025/6/1 13:45,738,Aft_10063,133
Flt_100081,NLLA,DOMU,2025/5/29 7:45,2025/5/29 10:25,738,Aft_10036,166
Flt_100082,NMUI,DOMU,2025/6/1 16:40,2025/6/1 18:40,738,Aft_10058,123
Flt_100083,AAHN,VGVC,2025/6/1 16:35,2025/6/1 19:00,738,Aft_10064,148
Flt_100084,EYWR,BBZB,2025/5/29 8:00,2025/5/29 9:40,738,Aft_10065,105
Flt_100085,SFRI,FGIR,2025/5/29 11:15,2025/5/29 13:10,7M8,Aft_10066,127
Flt_100086,FGIR,SFRI,2025/5/29 14:00,2025/5/29 15:55,7M8,Aft_10066,114
Flt_100087,PNNF,HZPW,2025/6/1 11:15,2025/6/1 13:00,738,Aft_10067,89
Flt_100088,VWIM,GLHV,2025/5/29 17:25,2025/5/29 19:50,7M8,Aft_10068,123
Flt_100089,WKDC,EYWR,2025/5/29 11:45,2025/5/29 14:15,738,Aft_10042,160
Flt_100090,VOXP,DOMU,2025/6/1 16:10,2025/6/1 17:55,738,Aft_10039,106
Flt_100091,YBWQ,EYWR,2025/6/1 14:50,2025/6/1 20:25,738,Aft_10031,311
Flt_100092,NLLA,YAFY,2025/5/29 17:30,2025/5/29 19:35,738,Aft_10035,123
Flt_100093,YAFY,NLLA,2025/5/29 20:45,2025/5/29 22:55,738,Aft_10035,136
Flt_100094,SJQD,DOMU,2025/5/29 11:10,2025/5/29 12:50,738,Aft_10033,105
Flt_100096,EYWR,HGHY,2025/5/29 9:45,2025/5/29 12:40,738,Aft_10060,178
Flt_100097,MPYS,EYWR,2025/5/29 9:50,2025/5/29 11:50,738,Aft_10069,120
Flt_100098,DOMU,SFRI,2025/5/29 6:45,2025/5/29 9:00,738,Aft_10070,142
Flt_100099,HZPW,IEMU,2025/5/29 8:30,2025/5/29 12:05,737GY,Aft_10071,231
Flt_100100,HEJY,VWIM,2025/6/1 19:05,2025/6/1 23:45,738,Aft_10007,280
Flt_100101,WJBA,SFRI,2025/5/29 13:05,2025/5/29 15:05,738,Aft_10072,117
Flt_100102,VWIM,EYWR,2025/5/29 10:35,2025/5/29 13:00,738,Aft_10073,114
Flt_100103,NVMB,EYWR,2025/5/29 18:20,2025/5/29 20:30,738,Aft_10046,132
Flt_100104,WKDC,XCCH,2025/5/29 8:45,2025/5/29 11:40,738,Aft_10074,171
Flt_100105,YITW,EYWR,2025/6/1 20:55,2025/6/1 23:30,738,Aft_10075,142
Flt_100106,SJQD,HZPW,2025/6/1 11:25,2025/6/1 13:00,738,Aft_10027,97
Flt_100107,NVMB,HZPW,2025/6/1 17:30,2025/6/1 19:20,738,Aft_10067,93
Flt_100108,GLHV,AAHN,2025/6/1 22:15,2025/6/1 23:55,738,Aft_10053,102
Flt_100109,KREM,EYWR,2025/5/29 17:35,2025/5/29 20:00,738,Aft_10064,118
Flt_100110,XCHB,EYWR,2025/6/1 21:50,2025/6/1 23:55,738,Aft_10076,130
Flt_100112,XLOC,DOMU,2025/6/1 10:05,2025/6/1 11:55,7M8,Aft_10077,101
Flt_100113,DOMU,FVJZ,2025/6/1 13:00,2025/6/1 15:50,738,Aft_10008,187
Flt_100114,HIUP,EYWR,2025/5/29 16:05,2025/5/29 17:35,738,Aft_10030,82
Flt_100115,OXSQ,LFOL,2025/5/29 15:10,2025/5/29 17:45,7M8,Aft_10011,145
Flt_100116,NLLA,KKME,2025/5/30 19:55,2025/5/30 22:50,738,Aft_10019,165
Flt_100117,OKJK,DOMU,2025/5/30 11:35,2025/5/30 14:10,7M8,Aft_10078,145
Flt_100118,IEMU,DOMU,2025/5/30 12:25,2025/5/30 15:10,73G,Aft_10079,159
Flt_100119,YBWQ,DOMU,2025/5/30 8:55,2025/5/30 13:20,738,Aft_10080,253
Flt_100120,EYWR,PNNF,2025/5/30 9:05,2025/5/30 11:20,738,Aft_10075,144
Flt_100121,HQMU,DOMU,2025/5/30 21:30,2025/5/31 0:10,738,Aft_10008,153
Flt_100122,HIUP,HZPW,2025/5/30 17:25,2025/5/30 19:00,738,Aft_10081,94
Flt_100123,SFRI,FGIR,2025/5/30 11:15,2025/5/30 13:10,7M8,Aft_10082,127
Flt_100124,HZPW,FPCR,2025/5/30 15:20,2025/5/30 17:55,738,Aft_10016,150
Flt_100125,DSQK,LLZL,2025/5/30 19:45,2025/5/30 22:20,738,Aft_10002,142
Flt_100126,GLHV,QGSX,2025/5/31 16:25,2025/5/31 19:30,738,Aft_10083,202
Flt_100127,NLLA,PNNF,2025/5/31 17:00,2025/5/31 20:05,738,Aft_10084,198
Flt_100128,AAHN,PNNF,2025/5/31 11:15,2025/5/31 12:50,738,Aft_10085,99
Flt_100129,VGVC,AAHN,2025/5/31 20:00,2025/5/31 22:15,738,Aft_10085,112
Flt_100130,HUYM,OXSQ,2025/5/31 16:05,2025/5/31 17:50,738,Aft_10052,113
Flt_100131,DYUE,NLLA,2025/5/31 19:40,2025/5/31 22:05,738,Aft_10003,146
Flt_100132,MCWT,OKJK,2025/5/31 7:50,2025/5/31 12:10,738,Aft_10017,252
Flt_100133,BBZB,OXSQ,2025/5/31 10:50,2025/5/31 13:35,738,Aft_10073,156
Flt_100134,HZPW,NLLA,2025/5/31 16:00,2025/5/31 18:50,7M8,Aft_10086,165
Flt_100135,DOMU,VDBQ,2025/5/31 14:50,2025/5/31 18:00,738,Aft_10087,193
Flt_100136,NLLA,HZPW,2025/5/31 20:05,2025/5/31 22:45,738,Aft_10023,161
Flt_100137,KKME,EYWR,2025/5/31 17:30,2025/5/31 20:05,738,Aft_10019,126
Flt_100138,AFPF,DOMU,2025/5/31 9:20,2025/5/31 10:55,738,Aft_10024,104
Flt_100139,HIUP,AAHN,2025/5/31 14:45,2025/5/31 16:25,738,Aft_10018,97
Flt_100140,WKDC,EYWR,2025/5/31 7:25,2025/5/31 10:00,738,Aft_10020,160
Flt_100141,MCWT,HZPW,2025/5/31 9:30,2025/5/31 15:00,738,Aft_10088,315
Flt_100142,NLLA,HZPW,2025/5/31 13:55,2025/5/31 16:55,738,Aft_10047,161
Flt_100143,VGVC,OETZ,2025/5/31 20:35,2025/5/31 23:40,7M8,Aft_10089,174
Flt_100144,NBCQ,AAHN,2025/5/29 21:20,2025/5/29 22:45,7M8,Aft_10090,73
Flt_100145,KKME,HZPW,2025/5/29 13:50,2025/5/29 16:15,738,Aft_10010,133
Flt_100146,EYWR,HEXD,2025/6/1 14:35,2025/6/1 17:15,738,Aft_10091,141
Flt_100147,VWIM,HEJY,2025/5/29 13:45,2025/5/29 18:05,738,Aft_10032,262
Flt_100148,HIUP,HZPW,2025/6/1 22:15,2025/6/1 23:55,738,Aft_10054,94
Flt_100149,OIQN,HZPW,2025/6/1 20:45,2025/6/1 22:15,738,Aft_10092,86
Flt_100150,GLHV,OXSQ,2025/5/29 21:55,2025/5/29 23:45,738,Aft_10037,118
Flt_100151,VGVC,AAHN,2025/5/29 20:00,2025/5/29 22:15,738,Aft_10009,112
Flt_100152,OXSQ,OETZ,2025/6/1 7:30,2025/6/1 9:40,738,Aft_10052,139
Flt_100153,DSQK,ZJCG,2025/5/29 17:35,2025/5/29 19:00,738,Aft_10093,90
Flt_100154,OETZ,HIUP,2025/6/1 7:45,2025/6/1 9:40,738,Aft_10012,129
Flt_100155,ZJCG,VOXP,2025/6/1 13:25,2025/6/1 15:20,738,Aft_10094,100
Flt_100156,MPYS,HZPW,2025/5/29 11:50,2025/5/29 14:25,738,Aft_10016,149
Flt_100157,DOMU,LFOL,2025/5/29 8:35,2025/5/29 11:50,738,Aft_10095,194
Flt_100158,LFOL,DOMU,2025/5/29 12:50,2025/5/29 15:55,738,Aft_10095,179
Flt_100159,VGVC,HZPW,2025/5/29 11:15,2025/5/29 13:25,738,Aft_10028,128
Flt_100160,NLLA,KKME,2025/5/29 19:55,2025/5/29 22:50,738,Aft_10019,165
Flt_100161,GLHV,VWIM,2025/5/29 15:30,2025/5/29 18:20,7M8,Aft_10096,149
Flt_100162,WKDC,HZPW,2025/5/29 6:55,2025/5/29 9:55,738,Aft_10097,193
Flt_100163,BBZB,EYWR,2025/5/29 8:45,2025/5/29 10:35,738,Aft_10076,108
Flt_100164,EYWR,WKDC,2025/5/29 11:55,2025/5/29 14:40,738,Aft_10076,157
Flt_100165,VWIM,EYWR,2025/6/1 10:35,2025/6/1 13:00,738,Aft_10026,114
Flt_100166,AAHN,XLOC,2025/6/1 7:00,2025/6/1 9:15,7M8,Aft_10077,136
Flt_100167,EYWR,KREM,2025/6/1 13:45,2025/6/1 16:20,738,Aft_10009,156
Flt_100168,LFOL,GLHV,2025/6/1 13:00,2025/6/1 15:20,738,Aft_10083,140
Flt_100169,QGSX,GLHV,2025/5/29 20:15,2025/5/29 22:55,738,Aft_10053,150
Flt_100170,OXSQ,FVJZ,2025/6/1 19:05,2025/6/1 21:00,738,Aft_10098,119
Flt_100171,NLLA,TZJS,2025/6/1 9:15,2025/6/1 12:15,738,Aft_10099,198
Flt_100172,EYWR,LFOL,2025/6/1 9:15,2025/6/1 12:00,738,Aft_10075,168
Flt_100173,DOMU,VOXP,2025/5/30 9:25,2025/5/30 11:25,738,Aft_10025,102
Flt_100174,HZPW,NVMB,2025/5/30 14:45,2025/5/30 16:30,737GY,Aft_10006,102
Flt_100175,PNNF,EYWR,2025/5/30 15:55,2025/5/30 17:50,738,Aft_10057,116
Flt_100176,NVMB,AAHN,2025/5/30 18:30,2025/5/30 20:00,738,Aft_10054,82
Flt_100177,SFRI,DOMU,2025/5/30 18:00,2025/5/30 20:25,7M8,Aft_10078,138
Flt_100178,PNNF,EYWR,2025/5/30 12:25,2025/5/30 14:25,738,Aft_10075,116
Flt_100179,XHFE,DOMU,2025/5/30 13:25,2025/5/30 16:40,738,Aft_10100,177
Flt_100180,GLHV,HZPW,2025/5/30 20:10,2025/5/30 22:00,738,Aft_10062,90
Flt_100181,NLLA,LLZL,2025/5/30 10:00,2025/5/30 11:55,738,Aft_10058,118
Flt_100182,HEJY,VWIM,2025/5/30 19:05,2025/5/30 23:45,738,Aft_10098,280
Flt_100183,WKDC,EYWR,2025/5/30 17:55,2025/5/30 20:50,738,Aft_10053,160
Flt_100184,DOMU,AFPF,2025/5/30 6:30,2025/5/30 8:05,738,Aft_10018,87
Flt_100185,EYWR,VWIM,2025/5/30 6:50,2025/5/30 9:15,738,Aft_10101,137
Flt_100186,XLHA,EYWR,2025/5/30 18:00,2025/5/30 20:50,738,Aft_10056,156
Flt_100187,VGVC,OETZ,2025/5/30 20:35,2025/5/30 23:40,7M8,Aft_10089,174
Flt_100188,XCHB,VOXP,2025/5/30 19:50,2025/5/30 21:40,738,Aft_10102,107
Flt_100189,HZPW,ZOYW,2025/5/30 7:30,2025/5/30 9:35,738,Aft_10103,125
Flt_100190,KKME,DOMU,2025/5/30 17:55,2025/5/30 20:30,738,Aft_10048,134
Flt_100191,HUYM,WKDC,2025/5/30 10:20,2025/5/30 12:20,738,Aft_10004,110
Flt_100192,DOMU,HEJY,2025/5/30 18:50,2025/5/30 22:40,738,Aft_10104,237
Flt_100193,YITW,HZPW,2025/5/30 11:55,2025/5/30 14:30,738,Aft_10105,150
Flt_100194,QGSX,HIUP,2025/5/30 13:40,2025/5/30 15:40,738,Aft_10083,112
Flt_100195,AAHN,XLHA,2025/5/30 17:00,2025/5/30 19:50,738,Aft_10106,179
Flt_100196,PNNF,LLZL,2025/5/30 21:05,2025/5/31 0:15,738,Aft_10061,181
Flt_100197,FPCR,HZPW,2025/5/30 19:35,2025/5/30 22:40,738,Aft_10016,171
Flt_100198,GLHV,DOMU,2025/5/30 21:10,2025/5/30 23:15,7M8,Aft_10050,113
Flt_100199,YBWQ,HZPW,2025/5/31 15:05,2025/5/31 19:50,738,Aft_10025,269
Flt_100200,HIUP,DOMU,2025/5/31 12:40,2025/5/31 14:35,7M8,Aft_10050,102
Flt_100201,DOMU,PNNF,2025/5/31 7:30,2025/5/31 9:05,7M8,Aft_10107,96
Flt_100202,OXSQ,BBZB,2025/5/31 21:30,2025/5/31 23:45,738,Aft_10073,137
Flt_100203,NLLA,HZPW,2025/5/31 11:55,2025/5/31 15:00,7M8,Aft_10086,161
Flt_100204,FGIR,SFRI,2025/5/31 14:00,2025/5/31 15:55,7M8,Aft_10108,114
Flt_100205,DOMU,FPCR,2025/5/31 8:30,2025/5/31 11:30,738,Aft_10029,163
Flt_100206,HZPW,FTVG,2025/5/31 14:15,2025/5/31 17:40,738,Aft_10037,213
Flt_100207,ISKH,HIUP,2025/5/31 12:25,2025/5/31 13:45,738,Aft_10018,78
Flt_100208,DOMU,MCVK,2025/5/31 8:55,2025/5/31 13:40,7M8,Aft_10068,270
Flt_100209,KREM,EYWR,2025/5/31 17:35,2025/5/31 20:00,738,Aft_10104,118
Flt_100210,EYWR,BBZB,2025/5/31 19:00,2025/5/31 20:45,738,Aft_10038,105
Flt_100211,DOMU,FXWC,2025/5/31 17:20,2025/5/31 19:45,738,Aft_10055,145
Flt_100212,AAHN,FXWC,2025/5/31 14:20,2025/5/31 17:00,738,Aft_10053,149
Flt_100213,NVMB,EYWR,2025/5/31 18:20,2025/5/31 20:30,738,Aft_10057,132
Flt_100214,NLLA,HZPW,2025/6/1 15:55,2025/6/1 19:00,738,Aft_10037,161
Flt_100215,NLLA,HZPW,2025/6/1 9:30,2025/6/1 12:00,738,Aft_10003,161
Flt_100216,HZPW,OETZ,2025/5/29 20:10,2025/5/29 23:00,738,Aft_10094,161
Flt_100217,NBCQ,AAHN,2025/6/1 21:20,2025/6/1 22:45,7M8,Aft_10090,73
Flt_100218,HZPW,KKME,2025/5/29 7:35,2025/5/29 10:10,738,Aft_10058,168
Flt_100219,HIUP,WKDC,2025/5/29 13:50,2025/5/29 16:45,738,Aft_10109,161
Flt_100220,WKDC,HIUP,2025/5/29 17:45,2025/5/29 20:35,738,Aft_10109,177
Flt_100221,DOMU,HEXD,2025/6/1 13:50,2025/6/1 16:55,738,Aft_10061,172
Flt_100222,NBCQ,HZPW,2025/6/1 16:00,2025/6/1 17:40,738,Aft_10036,88
Flt_100223,DOMU,PNNF,2025/6/1 7:30,2025/6/1 9:05,737GY,Aft_10110,96
Flt_100224,KKME,HZPW,2025/6/1 18:30,2025/6/1 21:05,738,Aft_10063,133
Flt_100225,DOMU,VUWJ,2025/6/1 12:50,2025/6/1 14:55,738,Aft_10111,121
Flt_100226,YITW,AAHN,2025/6/1 11:50,2025/6/1 14:25,738,Aft_10112,148
Flt_100227,KKME,DOMU,2025/5/29 8:05,2025/5/29 10:20,738,Aft_10012,134
Flt_100228,XLHA,DOMU,2025/6/1 12:10,2025/6/1 14:45,7M8,Aft_10050,140
Flt_100229,DOMU,MPYS,2025/6/1 15:50,2025/6/1 18:40,7M8,Aft_10050,162
Flt_100230,HEJY,PZYH,2025/5/29 18:10,2025/5/29 20:40,738,Aft_10015,157
Flt_100231,DOMU,QGSX,2025/6/1 17:55,2025/6/1 20:45,738,Aft_10032,165
Flt_100232,DOMU,VOXP,2025/6/1 13:25,2025/6/1 15:10,738,Aft_10039,102
Flt_100233,OKJK,HZPW,2025/6/1 16:35,2025/6/1 18:45,738,Aft_10113,135
Flt_100234,IEMU,DOMU,2025/6/1 12:25,2025/6/1 15:10,737GY,Aft_10006,159
Flt_100235,KKME,VDBQ,2025/6/1 8:40,2025/6/1 11:50,738,Aft_10100,191
Flt_100236,EYWR,FVJZ,2025/6/1 10:50,2025/6/1 13:25,738,Aft_10038,160
Flt_100237,DOMU,MCVK,2025/5/29 19:35,2025/5/29 23:50,738,Aft_10072,270
Flt_100238,HEXD,DOMU,2025/5/29 17:55,2025/5/29 21:25,738,Aft_10057,231
Flt_100239,YITW,OXSQ,2025/6/1 19:05,2025/6/1 21:10,738,Aft_10048,106
Flt_100240,EYWR,XCHB,2025/6/1 8:55,2025/6/1 11:05,738,Aft_10109,125
Flt_100241,VOXP,HEJY,2025/5/29 21:15,2025/5/29 23:55,738,Aft_10104,164
Flt_100242,MCWT,OXSQ,2025/5/29 15:50,2025/5/29 20:30,738,Aft_10022,257
Flt_100243,KKME,EYWR,2025/5/29 9:05,2025/5/29 11:25,738,Aft_10091,126
Flt_100244,OXSQ,EYWR,2025/6/1 17:15,2025/6/1 18:55,738,Aft_10042,91
Flt_100245,AAHN,FXWC,2025/6/1 14:20,2025/6/1 17:00,738,Aft_10106,149
Flt_100246,DOMU,XHFE,2025/6/1 9:10,2025/6/1 12:25,738,Aft_10105,190
Flt_100247,ALFU,DOMU,2025/6/1 20:25,2025/6/1 21:55,738,Aft_10105,77
Flt_100248,DOMU,XHFE,2025/5/29 9:10,2025/5/29 12:25,738,Aft_10114,190
Flt_100249,LFOL,GLHV,2025/5/29 12:50,2025/5/29 15:20,738,Aft_10053,140
Flt_100250,EYWR,LFOL,2025/5/29 9:15,2025/5/29 12:00,738,Aft_10055,168
Flt_100251,UCKP,VWIM,2025/5/29 19:10,2025/5/29 21:20,738,Aft_10115,121
Flt_100252,DOMU,VGVC,2025/5/29 12:30,2025/5/29 14:55,738,Aft_10063,143
Flt_100253,XLHA,NLLA,2025/5/30 13:10,2025/5/30 16:20,738,Aft_10035,192
Flt_100254,DOMU,IEMU,2025/5/30 8:25,2025/5/30 11:40,73G,Aft_10079,212
Flt_100255,DOMU,NBCQ,2025/5/30 16:25,2025/5/30 17:55,73G,Aft_10079,89
Flt_100256,UXVH,EYWR,2025/5/30 11:05,2025/5/30 13:50,738,Aft_10091,160
Flt_100257,HSWG,HZPW,2025/5/30 14:30,2025/5/30 18:30,738,Aft_10116,254
Flt_100258,KKME,AAHN,2025/5/30 21:15,2025/5/30 23:45,738,Aft_10027,134
Flt_100259,LLZL,NLLA,2025/5/30 12:50,2025/5/30 14:40,738,Aft_10058,108
Flt_100260,NYOP,DOMU,2025/5/30 0:30,2025/5/30 6:20,7M8,Aft_10117,315
Flt_100261,HGHY,XINM,2025/5/30 13:30,2025/5/30 16:20,738,Aft_10026,174
Flt_100262,DOMU,HIUP,2025/5/30 6:35,2025/5/30 8:30,738,Aft_10034,110
Flt_100263,SFRI,DOMU,2025/5/30 16:05,2025/5/30 18:20,738,Aft_10046,138
Flt_100264,WJBA,OXSQ,2025/5/30 13:10,2025/5/30 15:50,738,Aft_10012,141
Flt_100265,VWIM,EYWR,2025/5/30 10:35,2025/5/30 13:00,738,Aft_10101,114
Flt_100266,EYWR,VGVC,2025/5/30 11:15,2025/5/30 13:50,738,Aft_10076,170
Flt_100267,DOMU,OIQN,2025/5/30 17:00,2025/5/30 18:45,738,Aft_10037,86
Flt_100268,ALFU,HZPW,2025/5/30 19:50,2025/5/30 21:35,738,Aft_10105,90
Flt_100269,BBZB,OXSQ,2025/5/30 10:50,2025/5/30 13:35,738,Aft_10095,156
Flt_100270,OXSQ,GLHV,2025/5/30 19:00,2025/5/30 20:50,738,Aft_10004,96
Flt_100271,VUWJ,DOMU,2025/5/30 16:00,2025/5/30 17:50,738,Aft_10104,101
Flt_100272,UXVH,DOMU,2025/5/30 19:20,2025/5/30 21:35,7M8,Aft_10068,116
Flt_100273,DOMU,KREM,2025/5/30 20:15,2025/5/30 22:05,738,Aft_10118,117
Flt_100274,OETZ,GLHV,2025/5/30 20:00,2025/5/30 21:55,738,Aft_10083,110
Flt_100275,YAFY,LLZL,2025/5/30 12:15,2025/5/30 15:25,738,Aft_10061,195
Flt_100276,DSQK,ZJCG,2025/5/30 16:05,2025/5/30 17:35,738,Aft_10024,90
Flt_100277,VWIM,GLHV,2025/5/30 17:25,2025/5/30 19:50,7M8,Aft_10050,123
Flt_100278,KKME,AAHN,2025/5/30 10:55,2025/5/30 13:20,738,Aft_10009,134
Flt_100279,DOMU,ZJCG,2025/5/31 13:15,2025/5/31 16:00,738,Aft_10119,161
